Challenge,Date,Link
Dawg Coffee Homepage,10/12/15,http://faculty.washington.edu/mikefree/info343/#/challenges/responsive
Mapping Police Shootings with Leaflet.js,10/19/15,http://faculty.washington.edu/mikefree/info343/#/challenges/map-challenge
CRUD Web Appplication,10/28/15,http://faculty.washington.edu/mikefree/info343/#/challenges/crud
Spotify Challenge,11/9/15,http://faculty.washington.edu/mikefree/info343/#/challenges/spotify
